Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2013,1813,282,1106,955,909,544,2000,10285,1
2013,1553,252,1012,692,911,404,1354,6860,2
2013,643,110,299,474,184,168,888,2506,3
2013,520,70,261,356,265,183,585,2836,4
2013,277,34,178,498,156,74,392,1807,5
2013,1695,168,782,1400,568,456,1984,9351,6
2013,1227,160,526,399,640,290,1043,4712,7
2013,742,116,491,423,450,238,560,3005,8
2013,450,76,236,127,231,105,607,2307,9
2013,750,94,441,269,714,204,682,3599,10
2013,802,104,573,569,332,181,785,5566,11
2013,465,66,253,210,135,121,541,1853,12
2013,2037,197,1230,1194,928,641,2076,16548,13
2013,1064,207,734,472,719,229,915,5213,14
2013,233,59,143,183,80,69,323,883,15
2013,669,156,455,289,335,177,1282,3850,16
2013,1410,278,850,623,804,299,1584,9519,17
2013,635,78,360,177,358,220,754,3446,18
2013,504,84,270,154,138,98,593,1905,19
2013,926,130,559,547,419,248,905,4984,21
2013,1391,219,951,702,935,379,1676,7051,22
2013,282,34,146,165,97,69,266,1068,23
2013,968,176,502,481,395,272,1590,4390,24
2013,1209,153,642,387,568,321,1309,5775,25
2013,1161,166,662,531,704,308,1280,8748,26
2013,1325,247,1085,747,513,278,1171,8014,27
2013,883,150,649,384,390,277,774,5687,28
2013,1721,255,1037,833,1301,414,2386,9519,29
2013,1787,234,1389,742,1022,523,1823,13667,30
2013,2507,383,2071,1093,1835,794,3597,19267,31
2013,438,69,236,306,272,118,525,2475,32
2013,2842,504,1908,1675,1299,761,2976,18071,33
2013,2629,352,1689,1946,1337,695,3298,20762,34
2013,1828,335,1086,703,1174,428,2360,12752,35
2013,444,94,320,206,264,124,616,2497,36
2013,927,181,619,354,618,250,1339,6571,37
2013,3154,360,1892,1800,2287,956,3225,22334,38
2013,632,109,345,235,223,183,689,2953,39
2013,947,160,654,831,469,249,1299,7141,40
2013,560,132,416,258,360,180,879,4472,41
2013,819,100,481,405,408,252,1121,5177,42
2013,427,78,285,340,197,117,485,2124,43
2013,2416,399,1578,1215,2020,537,2596,20820,44
2013,1484,239,1011,662,658,450,1675,7495,45
2013,341,68,245,167,183,117,514,2150,46
2013,871,129,528,210,350,227,910,4130,47
2013,194,26,96,169,70,37,175,715,48
2013,1217,225,719,342,839,341,1558,8118,49
2013,824,184,566,341,410,187,829,3513,50
2013,969,122,581,359,640,259,885,5693,51
2013,586,89,328,242,271,187,561,2318,52
2013,613,123,332,241,358,163,705,3007,53
2013,925,124,545,862,765,272,1071,5036,54
2013,526,95,306,325,183,160,376,2602,55
2013,1439,193,887,458,1261,317,1947,9970,56
2013,2274,224,1083,1732,844,495,1858,7871,57
2013,526,93,366,356,243,139,713,3003,58
2013,2385,371,1763,1396,1156,452,1735,10866,59
2013,3159,447,2096,1096,1798,777,2896,16121,60
2013,662,132,408,194,382,153,868,2883,61
2013,1880,300,1251,1105,699,349,1357,6798,62
2013,1211,154,700,393,514,335,1240,5514,63
2013,768,109,416,358,332,157,835,3979,64
2013,420,54,237,259,196,118,460,2262,65
2013,1306,177,934,603,565,365,1246,10702,66
2013,2204,311,1218,1033,910,620,2228,8456,67
2013,1435,188,883,448,763,437,1565,7802,68
2013,1995,278,1313,1413,1079,548,2481,15029,69
2013,730,136,517,250,322,248,832,3199,70
2013,990,160,537,631,461,254,1214,5468,71
2013,1170,274,784,293,662,342,1218,6492,72
2013,1035,124,564,665,556,261,1251,8448,73
2013,2001,282,1376,1105,983,600,2318,13571,74
2013,1367,190,808,469,562,318,1125,6733,76
2013,1577,202,1150,887,716,389,1616,9181,77
2013,746,88,452,481,516,187,1100,6630,78
2013,799,184,479,336,498,209,1031,4705,79
2013,1487,198,1094,532,610,307,1036,6600,80
2013,625,83,408,209,201,143,778,3677,81
2013,558,94,376,164,357,164,631,3836,82
2013,2145,263,1491,1314,868,648,2713,14582,83
2013,1683,141,813,1010,503,395,1274,8992,84
2013,1533,291,964,795,903,351,1873,10042,85
2013,784,161,462,491,293,189,654,3650,86
2013,416,81,252,146,180,85,469,2039,87
2013,820,141,491,550,434,166,1047,4122,88
2013,1059,193,762,272,487,310,1224,5730,89
2013,1470,172,990,690,533,595,1442,10398,91
2013,1298,171,1148,735,628,464,1695,8366,95
2013,1734,212,1756,1084,419,1093,1037,7843,971
2013,1336,181,1633,1101,285,653,657,5385,972
2013,2284,238,1671,257,278,663,1037,5329,973
2013,1560,435,2159,1291,621,649,1151,6868,974
2013,329,40,570,133,97,299,202,2207,978
2013,23,9,24,1,11,8,14,99,986
2013,979,307,1341,2565,302,226,475,4052,987
2013,623,107,1073,841,680,234,388,3572,988
2013,298,27,216,123,185,99,491,1687,2A
2013,626,46,284,156,387,183,947,2136,2B
