Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2016,1953,294,1198,1173,1068,551,1790,10752,1
2016,1748,256,1096,527,921,475,1710,6101,2
2016,660,106,317,508,223,144,696,2352,3
2016,615,77,330,636,253,178,559,3048,4
2016,414,45,200,498,151,111,485,1921,5
2016,1802,196,962,1008,414,482,1862,7967,6
2016,1169,129,592,570,501,241,865,4843,7
2016,1080,162,582,497,493,300,655,2822,8
2016,533,79,338,245,302,133,553,2322,9
2016,1005,119,574,320,605,305,837,4070,10
2016,1006,152,688,478,411,265,957,5926,11
2016,638,113,372,287,265,182,895,2192,12
2016,2131,203,1336,1584,841,667,2257,15762,13
2016,1700,230,762,732,584,276,1105,4883,14
2016,375,43,196,75,123,104,425,994,15
2016,780,199,424,270,327,213,1585,3742,16
2016,1466,259,948,886,848,342,1774,9367,17
2016,843,126,395,250,355,217,727,3214,18
2016,490,74,234,273,141,104,555,1904,19
2016,1170,172,554,764,435,220,1163,4725,21
2016,1775,316,983,646,874,401,2248,7115,22
2016,339,74,194,101,159,76,461,1178,23
2016,1135,212,533,378,477,290,1313,4388,24
2016,1326,207,730,357,710,352,1236,4834,25
2016,1251,181,764,578,675,354,1080,8366,26
2016,1678,284,1190,837,744,474,1675,8024,27
2016,1277,203,752,569,575,359,1041,4616,28
2016,1894,305,1012,929,1316,422,2356,9164,29
2016,2019,296,1293,1008,972,532,1825,12198,30
2016,2879,386,2115,1207,1946,789,3866,19901,31
2016,516,95,258,401,213,130,696,2876,32
2016,3503,677,2272,1096,1541,957,3317,19486,33
2016,2774,400,1918,1649,1318,813,2863,19438,34
2016,2051,403,1208,975,1251,481,2645,10294,35
2016,555,93,321,270,236,153,736,2392,36
2016,1267,212,653,391,876,249,1446,6824,37
2016,3705,474,2143,2006,2501,994,3429,23145,38
2016,786,159,434,386,276,230,681,2754,39
2016,1122,181,697,808,525,295,1387,6590,40
2016,857,136,434,222,321,221,861,4102,41
2016,1182,210,594,691,427,272,1335,5372,42
2016,600,81,286,474,215,166,707,2323,43
2016,2417,416,1655,1408,1775,629,3053,19745,44
2016,1616,212,834,774,673,410,2106,7252,45
2016,537,88,253,287,211,124,476,2151,46
2016,961,148,595,222,460,340,1018,5212,47
2016,216,29,96,165,72,38,168,686,48
2016,1428,340,714,641,867,326,1883,7524,49
2016,836,189,471,481,375,227,852,3616,50
2016,1030,163,573,374,501,266,883,5125,51
2016,582,102,308,246,300,186,635,2122,52
2016,651,148,342,520,321,190,773,2824,53
2016,1066,164,568,713,633,238,1016,4193,54
2016,649,99,324,336,188,179,416,2109,55
2016,1567,301,938,613,908,342,2356,9462,56
2016,2016,220,1163,1226,784,532,1448,7350,57
2016,662,98,357,304,240,193,960,3033,58
2016,2987,459,1930,1694,1223,688,2222,11801,59
2016,3158,450,2110,927,2029,827,3025,15873,60
2016,840,210,454,205,407,212,845,2953,61
2016,2314,379,1315,1040,803,495,1747,6937,62
2016,1302,186,699,462,836,391,1431,6834,63
2016,889,158,448,376,352,219,1005,3862,64
2016,397,66,235,358,215,102,534,1996,65
2016,1493,196,1037,790,659,437,1583,10031,66
2016,2508,421,1283,1287,1012,783,2274,7923,67
2016,1931,246,959,730,809,528,1662,7114,68
2016,2346,359,1521,1505,1019,616,3444,16763,69
2016,889,135,513,240,301,240,749,2936,70
2016,1157,168,654,697,489,286,1342,5126,71
2016,1440,289,940,496,641,397,1718,6747,72
2016,1166,172,708,728,558,311,1266,8186,73
2016,2569,357,1466,1909,1010,633,3047,13707,74
2016,1600,236,830,764,544,390,1384,6774,76
2016,1989,284,1207,1207,634,560,1846,8216,77
2016,886,119,529,582,544,164,1096,5614,78
2016,991,177,542,306,494,233,884,4425,79
2016,1714,195,1028,617,661,438,1214,6098,80
2016,935,110,444,502,339,222,875,3891,81
2016,557,95,445,137,355,147,711,3801,82
2016,2560,287,1804,1369,821,829,3192,13979,83
2016,1542,206,975,902,529,423,1538,9469,84
2016,1722,351,1067,1006,803,435,2017,9163,85
2016,884,154,491,334,386,190,924,4081,86
2016,521,94,280,213,223,142,862,2137,87
2016,924,143,563,798,405,232,862,4027,88
2016,1405,211,906,703,468,443,2999,5574,89
2016,1632,203,1011,868,656,555,1455,9330,91
2016,1291,160,1302,896,614,519,1669,7755,95
2016,1598,217,1706,1010,286,1032,1061,7042,971
2016,1214,201,1374,1141,252,626,754,4409,972
2016,1658,261,1695,501,267,828,727,4928,973
2016,2118,565,2695,1165,624,922,1489,8754,974
2016,398,47,424,279,83,202,159,1388,978
2016,18,7,26,1,12,3,18,42,986
2016,831,270,1249,926,212,236,388,4351,987
2016,769,141,1205,535,829,265,293,3915,988
2016,449,47,237,173,246,149,564,1756,2A
2016,598,50,301,265,484,197,900,1782,2B
