Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2018,2328,401,1311,645,1444,620,2281,11180,1
2018,2051,334,1237,461,1183,582,1422,6425,2
2018,797,160,414,418,356,199,731,2388,3
2018,756,108,349,543,282,224,667,2679,4
2018,396,96,244,619,182,108,454,1573,5
2018,2154,210,1052,1128,610,634,2135,7302,6
2018,1372,209,665,612,627,324,853,4513,7
2018,1151,187,519,369,589,354,761,3127,8
2018,633,116,346,222,356,178,553,2024,9
2018,1330,179,562,436,667,400,1036,3455,10
2018,1082,202,773,477,493,305,942,5187,11
2018,734,125,357,305,309,174,781,2082,12
2018,2585,356,1467,1319,933,727,3293,13272,13
2018,2042,339,801,854,657,348,1269,5127,14
2018,458,127,214,149,159,84,496,973,15
2018,953,236,514,258,509,255,1562,3828,16
2018,1839,359,1140,1035,868,431,2033,9188,17
2018,784,165,470,335,445,217,814,3013,18
2018,528,107,274,284,251,128,698,1840,19
2018,1294,220,657,770,564,271,1255,4517,21
2018,2081,391,1035,704,919,451,2561,7036,22
2018,498,88,211,165,186,117,462,1190,23
2018,1169,238,635,346,466,310,1367,4314,24
2018,1572,255,723,509,714,451,1374,4236,25
2018,1402,224,829,616,913,429,1246,7353,26
2018,2151,420,1415,633,906,493,1859,7499,27
2018,1566,241,716,597,510,364,1079,4236,28
2018,2204,414,1240,884,1453,412,2619,9285,29
2018,2453,345,1525,696,1104,679,2214,11667,30
2018,3397,576,2291,966,2314,953,4688,18654,31
2018,590,137,353,384,265,126,762,2320,32
2018,4188,770,2664,1461,1819,1089,4209,21575,33
2018,3499,517,2173,1962,1764,853,3333,18355,34
2018,2418,502,1335,1059,1462,472,2631,11351,35
2018,653,133,365,164,250,140,644,2310,36
2018,1430,343,864,321,890,368,1898,6650,37
2018,4820,687,2562,1913,2921,1269,3697,22133,38
2018,1000,175,468,454,464,259,1034,3215,39
2018,1218,257,788,630,593,251,1354,5751,40
2018,1137,223,540,176,461,271,925,3454,41
2018,1265,230,733,628,536,329,1368,5033,42
2018,779,133,387,635,278,179,908,2354,43
2018,3235,628,2143,1421,1985,759,3533,20289,44
2018,1844,311,953,816,669,538,1877,6120,45
2018,622,138,288,345,236,179,761,2282,46
2018,1135,225,742,186,533,376,1157,5040,47
2018,242,47,125,105,99,62,199,701,48
2018,1746,381,945,538,931,335,2158,7349,49
2018,1328,320,668,410,569,294,1404,3671,50
2018,1190,175,614,263,653,347,879,5097,51
2018,649,117,365,187,425,169,603,2038,52
2018,809,183,456,432,501,180,823,2495,53
2018,1382,248,713,429,809,415,1013,3770,54
2018,717,115,375,334,251,221,451,1919,55
2018,1751,387,1117,651,1039,417,2419,9191,56
2018,2443,344,1173,1071,984,545,1841,7160,57
2018,681,161,422,256,328,196,803,2860,58
2018,3503,525,2142,1538,1485,785,2150,10850,59
2018,3494,575,2171,870,2112,954,2985,14204,60
2018,1015,211,498,287,672,278,841,2722,61
2018,2677,513,1419,833,850,580,1873,7202,62
2018,1430,224,736,361,737,343,1413,5931,63
2018,997,188,547,401,410,242,1142,3949,64
2018,550,91,276,408,263,118,480,1962,65
2018,1838,253,1240,703,748,510,1927,10309,66
2018,2914,533,1511,1283,1277,841,2293,7522,67
2018,2332,330,1096,712,1096,591,2140,6199,68
2018,2731,484,1744,1134,1131,701,3463,16143,69
2018,1036,176,576,278,468,321,754,2659,70
2018,1332,269,763,586,643,352,1277,5388,71
2018,1863,427,1017,425,704,504,1963,5942,72
2018,1361,222,778,899,609,361,1326,7067,73
2018,2951,449,1601,1775,1231,695,2972,12348,74
2018,1995,344,988,865,659,424,1290,6891,76
2018,2390,329,1223,1297,658,541,1723,7953,77
2018,1233,175,619,718,586,227,1305,5020,78
2018,1234,241,564,514,723,274,1188,4289,79
2018,2006,352,1278,615,774,556,1356,6275,80
2018,1073,190,566,410,438,239,919,3596,81
2018,764,152,477,193,394,271,1162,2930,82
2018,3082,361,1785,1135,952,1033,3338,13003,83
2018,1721,227,1030,943,654,471,1607,8246,84
2018,2116,427,1162,882,899,460,2033,9065,85
2018,1134,229,529,366,428,269,1185,4069,86
2018,688,137,328,275,279,191,732,1936,87
2018,1062,196,625,575,533,273,865,4279,88
2018,1481,277,1012,707,580,420,1598,4550,89
2018,1754,231,1093,758,671,563,1573,8882,91
2018,1571,266,1218,590,638,512,1687,7536,95
2018,1773,251,1661,1123,373,886,1405,6021,971
2018,1354,277,1527,950,262,676,856,3545,972
2018,1989,277,1846,361,307,829,691,4454,973
2018,2338,633,2910,1120,723,1002,1478,7293,974
2018,370,54,408,235,96,194,189,1359,978
2018,853,294,1251,1053,188,216,633,3768,987
2018,950,181,1359,623,907,296,354,4375,988
2018,550,35,265,127,342,151,711,1600,2A
2018,611,50,310,161,442,194,668,1469,2B
