Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2017,2065,344,1177,916,1271,616,2005,10693,1
2017,1972,318,1132,485,1157,581,1541,6422,2
2017,742,121,409,436,291,205,690,2523,3
2017,766,87,321,544,332,195,580,2684,4
2017,404,59,215,660,173,93,414,1746,5
2017,1794,214,896,1068,487,500,1797,8235,6
2017,1230,169,578,614,615,262,920,4736,7
2017,1141,179,533,438,550,309,686,2583,8
2017,637,116,346,260,326,158,564,2163,9
2017,1105,142,531,375,588,318,797,3479,10
2017,1078,187,772,644,453,303,934,5622,11
2017,733,138,359,388,267,170,640,2097,12
2017,2506,270,1428,1567,1042,704,2394,14618,13
2017,1936,249,799,1026,699,309,1107,4869,14
2017,409,71,177,118,121,105,598,940,15
2017,817,166,451,195,420,218,1629,3757,16
2017,1628,330,1003,875,808,367,2075,9678,17
2017,858,131,457,262,392,233,871,3261,18
2017,502,90,278,304,189,112,593,2038,19
2017,1212,193,627,651,554,248,1107,4603,21
2017,1914,326,1025,757,968,456,2588,6916,22
2017,386,63,166,160,158,112,496,1381,23
2017,1182,251,537,344,399,275,1229,4451,24
2017,1373,192,760,394,589,388,1230,4558,25
2017,1343,178,684,591,786,370,1390,7932,26
2017,1884,331,1296,688,888,481,1620,7585,27
2017,1311,210,643,625,511,330,1051,4375,28
2017,2026,344,1106,1105,1429,447,2391,9460,29
2017,2255,313,1395,972,1061,632,2208,12392,30
2017,3119,461,2283,998,2117,860,4206,20271,31
2017,515,109,336,356,310,141,689,2558,32
2017,3651,673,2400,1309,1871,1010,3546,21225,33
2017,3116,427,2027,1885,1601,818,3172,19304,34
2017,2190,420,1381,1250,1476,465,2546,11191,35
2017,491,120,335,231,227,155,680,2359,36
2017,1280,246,701,405,922,275,2052,7015,37
2017,4152,584,2217,1711,2813,1097,3608,22950,38
2017,854,167,440,363,355,237,744,2955,39
2017,1231,219,684,933,616,263,1310,6016,40
2017,991,161,535,279,372,199,825,4059,41
2017,1217,193,708,713,460,324,1483,5327,42
2017,698,136,358,521,257,209,743,2369,43
2017,2721,513,1985,1536,1892,607,3474,20061,44
2017,1705,289,870,900,647,484,1787,6765,45
2017,564,95,264,365,220,164,585,2315,46
2017,944,167,685,171,504,293,856,4712,47
2017,210,28,118,117,91,40,202,662,48
2017,1541,375,868,451,1070,304,1853,8184,49
2017,1053,279,643,534,583,234,1265,3828,50
2017,1126,170,581,444,643,336,1010,5079,51
2017,563,118,344,220,331,181,639,1865,52
2017,811,145,399,493,410,202,852,2835,53
2017,1259,201,631,659,670,330,948,4205,54
2017,595,123,333,279,231,191,459,2046,55
2017,1756,332,1086,639,986,376,2141,10050,56
2017,2093,304,1191,1116,980,477,1687,7833,57
2017,757,144,376,304,240,204,933,3288,58
2017,3117,458,2055,1760,1303,717,2320,11333,59
2017,3345,489,2067,1093,2289,831,2985,15133,60
2017,918,166,469,271,482,236,893,2953,61
2017,2592,396,1374,1022,887,542,1875,6898,62
2017,1364,184,715,355,769,340,1678,7290,63
2017,947,136,505,421,390,218,1059,4362,64
2017,512,78,248,417,265,119,556,2128,65
2017,1679,263,1097,834,712,459,1687,10692,66
2017,2803,452,1423,1178,1074,775,2639,7887,67
2017,1933,295,956,697,1026,533,1647,7457,68
2017,2318,405,1623,1385,1028,697,3295,16036,69
2017,967,173,489,273,391,249,796,2899,70
2017,1195,198,706,692,524,289,1436,5258,71
2017,1523,315,997,410,733,434,1843,6503,72
2017,1188,167,707,755,667,255,1406,8138,73
2017,2732,399,1403,1876,1114,660,2613,13576,74
2017,1628,266,879,767,593,381,1368,6864,76
2017,2206,347,1187,1291,734,540,1760,8482,77
2017,946,129,587,692,486,185,1150,5452,78
2017,1017,219,584,455,587,273,1030,4712,79
2017,1913,249,1004,566,734,482,1248,6294,80
2017,985,156,525,344,409,217,810,4026,81
2017,632,141,435,158,426,201,834,3541,82
2017,2826,322,1772,1438,888,874,3250,14114,83
2017,1595,204,1045,997,540,471,1503,9346,84
2017,1852,360,1096,992,854,430,2101,9508,85
2017,923,188,496,392,425,206,845,4363,86
2017,541,102,295,283,246,135,596,2294,87
2017,995,133,532,741,494,245,1004,4381,88
2017,1525,248,907,606,504,351,1886,4979,89
2017,1632,214,1104,726,708,522,1548,8929,91
2017,1479,212,1186,762,630,593,1682,7772,95
2017,1626,242,1569,713,373,937,1158,6960,971
2017,1358,244,1373,1023,258,628,841,4210,972
2017,1778,287,1815,401,290,831,700,4751,973
2017,2106,587,2743,1482,676,822,1523,8099,974
2017,365,51,382,204,89,193,142,1695,978
2017,784,235,1279,948,169,251,463,4180,987
2017,881,177,1300,666,985,280,292,3948,988
2017,451,34,272,174,277,107,626,1690,2A
2017,592,74,303,199,474,161,693,1750,2B
