Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2019.0,2462.0,465.0,1439.0,669.0,1529.0,678.0,2747.0,11454.0,1.0
2019.0,2057.0,372.0,1246.0,486.0,993.0,571.0,1849.0,6345.0,2.0
2019.0,927.0,199.0,452.0,262.0,379.0,243.0,1012.0,2567.0,3.0
2019.0,777.0,110.0,429.0,530.0,381.0,258.0,686.0,2435.0,4.0
2019.0,412.0,75.0,219.0,504.0,165.0,127.0,431.0,1453.0,5.0
2019.0,2313.0,265.0,1079.0,1370.0,599.0,700.0,2661.0,7013.0,6.0
2019.0,1292.0,198.0,703.0,602.0,534.0,333.0,1048.0,4440.0,7.0
2019.0,1333.0,227.0,654.0,424.0,573.0,355.0,985.0,2937.0,8.0
2019.0,659.0,133.0,446.0,204.0,387.0,167.0,550.0,2011.0,9.0
2019.0,1401.0,168.0,668.0,389.0,575.0,463.0,854.0,3846.0,10.0
2019.0,1181.0,213.0,760.0,533.0,527.0,397.0,1115.0,5259.0,11.0
2019.0,808.0,147.0,440.0,311.0,316.0,196.0,785.0,2138.0,12.0
2019.0,2688.0,378.0,1731.0,1471.0,1022.0,874.0,3183.0,13401.0,13.0
2019.0,2155.0,377.0,925.0,586.0,782.0,372.0,1394.0,5227.0,14.0
2019.0,458.0,92.0,199.0,105.0,161.0,128.0,435.0,1033.0,15.0
2019.0,1052.0,233.0,617.0,270.0,505.0,320.0,1281.0,3520.0,16.0
2019.0,2131.0,423.0,1217.0,1274.0,995.0,545.0,2203.0,9327.0,17.0
2019.0,895.0,175.0,508.0,282.0,487.0,282.0,781.0,2911.0,18.0
2019.0,669.0,121.0,301.0,333.0,256.0,155.0,681.0,1755.0,19.0
2019.0,1389.0,251.0,778.0,660.0,557.0,321.0,1252.0,4873.0,21.0
2019.0,2228.0,413.0,1158.0,726.0,1199.0,528.0,2259.0,6974.0,22.0
2019.0,514.0,99.0,244.0,233.0,188.0,127.0,503.0,1182.0,23.0
2019.0,1153.0,284.0,664.0,378.0,535.0,312.0,1462.0,4180.0,24.0
2019.0,1629.0,314.0,835.0,528.0,570.0,459.0,1385.0,4063.0,25.0
2019.0,1449.0,336.0,834.0,560.0,932.0,371.0,1301.0,7074.0,26.0
2019.0,2387.0,492.0,1547.0,602.0,1013.0,601.0,1853.0,7460.0,27.0
2019.0,1617.0,283.0,831.0,504.0,527.0,448.0,1247.0,4034.0,28.0
2019.0,2541.0,466.0,1364.0,1021.0,1447.0,516.0,3060.0,8896.0,29.0
2019.0,2284.0,436.0,1550.0,790.0,1204.0,682.0,2372.0,11760.0,30.0
2019.0,3826.0,627.0,2448.0,854.0,2237.0,1024.0,4772.0,19456.0,31.0
2019.0,699.0,147.0,392.0,308.0,330.0,172.0,704.0,2014.0,32.0
2019.0,4317.0,873.0,2810.0,1208.0,2007.0,1091.0,4568.0,21846.0,33.0
2019.0,3641.0,556.0,2294.0,2043.0,2050.0,853.0,3833.0,18318.0,34.0
2019.0,2761.0,598.0,1565.0,936.0,1498.0,581.0,3019.0,10876.0,35.0
2019.0,672.0,163.0,430.0,145.0,264.0,218.0,833.0,2246.0,36.0
2019.0,1637.0,391.0,933.0,320.0,1007.0,351.0,1790.0,6613.0,37.0
2019.0,5375.0,774.0,2995.0,1953.0,2968.0,1284.0,4318.0,23403.0,38.0
2019.0,996.0,204.0,542.0,430.0,505.0,307.0,899.0,2926.0,39.0
2019.0,1328.0,297.0,829.0,512.0,621.0,329.0,1546.0,5373.0,40.0
2019.0,1058.0,246.0,610.0,219.0,491.0,268.0,946.0,3129.0,41.0
2019.0,1399.0,223.0,787.0,488.0,543.0,340.0,1433.0,4809.0,42.0
2019.0,954.0,139.0,448.0,909.0,366.0,261.0,969.0,2151.0,43.0
2019.0,3363.0,654.0,2357.0,1225.0,2177.0,852.0,3975.0,21654.0,44.0
2019.0,2063.0,339.0,1050.0,626.0,640.0,559.0,1999.0,5471.0,45.0
2019.0,690.0,134.0,327.0,338.0,275.0,209.0,713.0,2234.0,46.0
2019.0,1162.0,210.0,796.0,228.0,431.0,368.0,1120.0,4748.0,47.0
2019.0,239.0,45.0,159.0,135.0,103.0,74.0,321.0,708.0,48.0
2019.0,1672.0,481.0,1030.0,450.0,979.0,381.0,2005.0,7342.0,49.0
2019.0,1327.0,378.0,745.0,543.0,563.0,310.0,1442.0,3663.0,50.0
2019.0,1388.0,217.0,718.0,251.0,662.0,374.0,1058.0,5555.0,51.0
2019.0,639.0,105.0,359.0,157.0,420.0,187.0,563.0,2017.0,52.0
2019.0,933.0,244.0,494.0,347.0,409.0,235.0,923.0,2483.0,53.0
2019.0,1493.0,321.0,757.0,305.0,806.0,474.0,1170.0,3739.0,54.0
2019.0,697.0,121.0,360.0,298.0,267.0,171.0,501.0,1823.0,55.0
2019.0,2164.0,541.0,1303.0,640.0,1092.0,548.0,2619.0,9190.0,56.0
