Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2015,1008,51,433,472,434,200,744,2196,1
2015,1444,173,1185,753,859,439,1119,4440,2
2015,845,64,665,592,714,241,949,3295,3
2015,262,44,245,199,213,131,241,1137,4
2015,371,20,290,160,253,99,376,1594,5
2015,6818,492,6436,2892,4597,2271,6927,34227,6
2015,279,22,213,263,262,93,291,1471,7
2015,593,54,540,318,689,226,502,1830,8
2015,245,20,168,203,97,65,173,718,9
2015,954,85,897,461,725,294,1200,3397,10
2015,1181,117,791,430,814,377,888,4303,11
2015,445,46,317,399,263,145,397,1594,12
2015,12139,1013,12962,7304,7128,5584,11415,72976,13
2015,1805,241,1667,1412,2326,715,2112,7720,14
2015,131,15,146,40,320,62,198,883,15
2015,713,71,734,397,1331,357,741,3248,16
2015,1140,165,1180,1087,2222,401,1232,8080,17
2015,703,91,734,230,784,260,839,3233,18
2015,527,49,404,194,478,180,585,1722,19
2015,1365,179,1156,574,1506,479,1618,6296,21
2015,560,79,543,373,584,205,686,2564,22
2015,57,15,71,58,126,26,86,318,23
2015,444,78,496,277,809,148,717,2433,24
2015,1956,207,1789,785,1766,953,1725,6456,25
2015,1429,136,1452,803,1410,619,1206,7508,26
2015,1082,156,916,595,574,336,942,3780,27
2015,1188,110,861,596,857,341,950,3452,28
2015,1724,197,1846,850,3344,552,1587,7502,29
2015,1908,169,2137,795,2401,825,1861,9634,30
2015,4862,570,5221,2953,3560,2065,5924,28727,31
2015,147,13,150,31,129,42,194,742,32
2015,4186,463,4707,2872,4921,1438,5050,27693,33
2015,3921,378,5027,2031,4098,1538,3926,19684,34
2015,2051,313,2393,1148,2376,842,2580,10154,35
2015,362,36,297,245,409,123,265,1437,36
2015,959,149,1334,874,1947,366,1342,6702,37
2015,2736,234,3056,1001,3313,1413,2663,15976,38
2015,408,34,269,167,251,107,398,1294,39
2015,461,43,432,385,545,147,492,2515,40
2015,739,93,521,482,609,304,650,2870,41
2015,2700,223,2482,1486,3138,1212,2698,12278,42
2015,266,54,202,165,121,99,222,842,43
2015,4022,498,3462,1978,4012,1545,3797,27686,44
2015,2127,219,1955,886,1653,860,2407,8863,45
2015,129,14,119,87,47,37,137,858,46
2015,538,60,471,205,485,174,376,2691,47
2015,81,15,59,53,28,33,42,168,48
2015,1492,188,1342,1255,1916,507,1735,7582,49
2015,807,114,586,473,909,226,793,2189,50
2015,2533,245,2440,1143,2884,945,1875,9289,51
2015,435,45,344,212,185,195,261,1217,52
2015,512,58,425,212,317,211,413,1653,53
2015,3328,337,2150,2072,2760,839,2864,12928,54
2015,360,44,208,288,240,120,264,1203,55
2015,835,115,932,632,1422,370,1033,4457,56
2015,3336,263,2604,1499,4752,1134,2349,11907,57
2015,268,27,206,187,428,65,204,1169,58
2015,12988,1395,14851,10034,12480,5188,11833,69597,59
2015,1856,157,1707,909,1514,618,1488,5411,60
2015,603,72,388,256,809,252,372,1893,61
2015,8235,914,6479,3046,6316,2239,5433,24519,62
2015,1351,143,1215,631,1664,467,1627,7634,63
2015,2069,151,1489,1368,1501,555,1991,9875,64
2015,432,44,455,208,588,207,572,2730,65
2015,4620,130,1410,708,1201,521,1193,5034,66
2015,4039,284,2790,1964,3528,1476,3315,12105,67
2015,2388,178,2106,1001,1880,1012,1385,7138,68
2015,8934,903,9204,7233,7904,3324,9374,52034,69
2015,265,41,256,142,218,147,262,1143,70
2015,926,139,882,669,1017,387,1010,4151,71
2015,1324,132,1160,657,1355,538,1323,5038,72
2015,1419,79,680,503,726,246,1247,4165,73
2015,1837,83,869,1296,826,357,1307,4796,74
2015,20763,2363,23886,12173,15512,6741,37707,133746,75
2015,4735,738,5000,3286,6419,2226,3890,21319,76
2015,7369,658,6457,5126,5614,2681,7247,31004,77
2015,7013,722,5978,6602,6259,2642,9093,31813,78
2015,429,29,357,250,242,127,427,1810,79
2015,1807,271,1625,1009,1479,791,1314,5895,80
2015,633,78,567,222,965,207,618,3535,81
2015,416,50,398,195,407,166,459,2504,82
2015,3907,333,4083,3287,2344,1504,3956,19857,83
2015,1744,203,1659,944,1715,788,1798,8430,84
2015,612,72,480,342,515,195,570,2919,85
2015,1041,124,841,687,1419,377,1035,5322,86
2015,980,118,726,457,649,277,945,4863,87
2015,632,67,490,305,496,157,401,2241,88
2015,801,73,650,341,738,269,661,2479,89
2015,586,56,460,297,322,190,379,1484,90
2015,5797,536,5946,3884,3710,2355,5591,26377,91
2015,8538,928,10075,4508,8047,3641,17166,53326,92
2015,11971,1015,19513,10148,11466,5033,12108,62894,93
2015,7643,771,9335,5533,7048,3184,11007,46545,94
2015,8019,498,8074,4577,5189,2745,7717,28216,95
2015,1070,116,1807,509,762,908,737,4685,971
2015,1116,92,1396,626,419,670,729,3713,972
2015,2646,101,2087,322,393,637,777,3295,973
2015,1569,307,2559,515,1864,925,1064,7128,974
2015,2167,69,1112,26,368,240,467,2743,976
2015,407,53,576,544,120,88,307,2414,987
2015,768,101,1020,651,1460,171,660,3750,988
2015,494,42,283,284,484,154,497,914,2A
2015,378,28,291,180,487,139,246,1088,2B
