Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2019,898,112,448,566,728,221,707,2050,1
2019,1524,251,1298,875,1415,490,1311,5151,2
2019,966,134,823,446,879,378,929,3440,3
2019,330,54,314,209,330,155,305,1328,4
2019,316,50,268,103,172,79,559,1132,5
2019,7062,728,6222,2696,3474,2500,6603,28140,6
2019,246,36,226,280,198,51,289,1343,7
2019,743,84,559,375,589,308,515,1853,8
2019,289,48,188,134,190,110,208,871,9
2019,1215,174,996,407,447,459,1150,3435,10
2019,877,146,787,339,757,340,856,3844,11
2019,464,72,326,327,280,179,411,1299,12
2019,13058,1636,14328,5368,8341,6381,13182,66703,13
2019,2149,372,1619,894,2069,893,2051,7023,14
2019,225,38,182,87,170,96,333,680,15
2019,917,160,949,692,859,478,869,3375,16
2019,1345,291,1295,905,1845,400,1473,6610,17
2019,708,137,653,282,747,256,626,2698,18
2019,536,103,419,457,355,229,599,1697,19
2019,1617,268,1238,639,1843,611,1711,5572,21
2019,635,127,646,457,654,202,728,2696,22
2019,106,24,112,39,71,50,87,392,23
2019,493,119,611,346,884,209,697,2469,24
2019,2025,240,2095,991,1537,1002,2094,5697,25
2019,1294,236,1327,777,1370,601,1312,6371,26
2019,1167,186,1006,635,538,369,1150,3356,27
2019,1085,170,813,598,976,444,993,2807,28
2019,1829,334,1877,934,2589,623,1897,6855,29
2019,2003,248,1816,732,1739,740,1829,8744,30
2019,5692,830,5123,2662,4569,2071,6543,31647,31
2019,157,43,154,84,69,34,178,705,32
2019,5009,875,5447,2054,6130,1715,5976,35766,33
2019,4411,554,4896,1753,4185,1765,4666,23285,34
2019,2183,427,2445,1206,2381,858,2646,10167,35
2019,316,54,329,220,296,166,333,1387,36
2019,1378,274,1542,724,1560,472,1956,7703,37
2019,3282,408,3223,1274,3956,1360,3079,17903,38
2019,434,67,297,257,194,148,397,1251,39
2019,503,88,442,252,613,219,589,2378,40
2019,798,139,572,547,644,321,753,2281,41
2019,2553,355,2633,1494,4022,1160,2764,12593,42
2019,281,54,183,183,238,87,209,1000,43
2019,4361,780,4458,1870,4431,1532,4052,30654,44
2019,2370,482,2097,813,1252,989,2630,7286,45
2019,150,31,153,49,141,57,229,680,46
2019,776,122,638,272,462,358,850,2239,47
2019,111,12,74,48,46,36,64,239,48
2019,1724,446,1539,983,1910,616,1995,7967,49
2019,1172,241,753,667,722,271,955,2229,50
2019,2480,334,2324,1391,2866,1042,2234,7820,51
2019,539,73,345,331,142,198,342,1163,52
2019,498,89,505,178,231,172,562,1604,53
2019,3276,460,2570,1738,2823,1074,3601,9668,54
2019,402,71,282,374,276,115,320,1212,55
2019,1316,260,1276,754,1234,471,1197,4243,56
2019,3172,464,2945,1428,4158,1430,3507,10874,57
2019,293,40,193,106,408,71,349,1250,58
2019,15341,2876,16189,8959,12963,6277,14414,64349,59
2019,1612,204,1507,1157,1254,635,1617,5135,60
2019,685,119,375,269,514,345,487,1514,61
2019,9880,1412,6738,3432,5660,2548,6209,20689,62
2019,1684,299,1405,728,2201,584,1975,8810,63
2019,1781,280,1611,970,1492,637,2088,9338,64
2019,580,58,435,290,651,159,854,2911,65
2019,1480,158,1495,527,749,597,1469,4823,66
2019,3901,502,3380,1534,4106,1900,3452,13082,67
2019,2373,343,2248,805,1994,1063,1837,6534,68
2019,10132,1425,10337,6159,7325,3626,11329,61292,69
2019,252,44,178,101,126,64,184,597,70
2019,1035,160,911,623,872,370,1115,4148,71
2019,1887,273,1537,460,969,686,2372,5974,72
2019,1010,137,745,661,778,251,953,3143,73
2019,1220,115,1179,904,601,515,1464,6043,74
2019,25332,3552,27807,12014,16373,7661,40462,178450,75
2019,5571,1007,5427,2454,6488,2428,5781,23021,76
2019,7548,1065,6374,5071,5075,2591,7270,28273,77
2019,8089,1258,6645,6087,5567,2909,10961,30064,78
2019,409,76,425,239,343,195,630,2119,79
2019,1940,344,1810,1121,1317,675,1373,6016,80
2019,806,157,776,367,887,289,837,3570,81
2019,594,96,478,262,530,209,667,2010,82
2019,4208,500,3944,3949,2284,1524,4540,16746,83
2019,2012,205,1487,1302,1413,684,2024,7006,84
2019,660,107,589,317,500,267,655,2434,85
2019,1332,220,1036,824,1057,484,1581,4753,86
2019,1035,166,858,414,692,342,1424,3969,87
2019,689,117,438,367,497,170,522,2449,88
2019,805,100,570,418,660,236,656,2003,89
2019,656,83,452,273,266,161,330,1522,90
2019,7049,850,5930,4476,3414,2419,6540,24671,91
2019,10048,1966,10616,5372,7734,4209,19289,57266,92
2019,15274,2000,19826,12639,10759,6280,15894,66372,93
2019,9093,1394,10095,5881,6240,3645,11112,46110,94
2019,9350,953,7388,4709,3304,2824,9139,31184,95
2019,1146,126,1852,394,666,905,1195,4104,971
2019,1016,181,1328,782,473,711,703,3568,972
2019,1208,162,1274,150,454,602,893,2904,973
2019,1748,507,2620,505,1378,1079,1314,4830,974
2019,912,106,804,88,264,222,737,1547,976
2019,291,34,515,607,105,73,230,1697,987
2019,1002,125,1241,1000,1077,234,1266,4199,988
2019,464,74,307,199,597,170,448,940,2A
2019,386,45,285,138,377,144,365,794,2B
