Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2017,688,81,485,536,666,170,833,2190,1
2017,1234,185,1009,624,944,373,1011,4414,2
2017,888,110,736,622,876,280,1063,3396,3
2017,316,36,277,181,274,134,246,1282,4
2017,369,38,223,162,178,95,317,1484,5
2017,6330,569,5563,2611,4260,1961,5613,28965,6
2017,227,40,251,246,210,76,232,1385,7
2017,579,87,589,428,600,262,398,2046,8
2017,350,27,223,84,128,120,225,814,9
2017,1004,128,926,415,549,356,1183,3650,10
2017,754,80,778,425,566,305,947,4419,11
2017,421,58,296,333,249,147,406,1593,12
2017,11802,1325,12367,5915,6593,5588,13200,69235,13
2017,1944,300,1614,1128,2173,790,2219,7996,14
2017,156,28,126,104,178,41,199,797,15
2017,911,160,838,387,971,377,785,3393,16
2017,1041,218,1131,1004,1829,384,1381,7531,17
2017,668,98,628,180,836,234,792,3149,18
2017,520,65,444,417,390,180,511,1675,19
2017,1491,245,1187,769,1578,470,1786,5962,21
2017,566,68,584,369,541,231,844,3218,22
2017,91,12,60,37,59,28,75,444,23
2017,446,75,525,277,1035,177,522,2694,24
2017,1965,201,1896,846,1674,911,2084,6035,25
2017,1362,196,1244,892,1093,563,1422,6257,26
2017,1293,165,1090,826,590,391,1150,3684,27
2017,1050,129,819,612,854,384,1002,2970,28
2017,1914,248,1891,1032,2610,630,1895,7207,29
2017,1750,189,1705,525,1858,670,1922,9274,30
2017,4497,622,5170,3050,3836,1923,5928,31707,31
2017,147,26,135,48,188,53,178,846,32
2017,3743,654,4695,2378,4914,1496,5518,31790,33
2017,3671,499,4963,1816,3721,1495,4390,22883,34
2017,1953,417,2266,1063,2233,783,2753,10162,35
2017,318,52,287,213,386,160,312,1511,36
2017,1137,240,1385,724,1885,401,1734,7495,37
2017,2756,295,3074,1064,3131,1231,2752,18177,38
2017,442,62,279,379,219,138,444,1396,39
2017,472,75,445,354,521,175,455,2278,40
2017,770,90,574,503,665,304,674,3090,41
2017,2491,295,2413,1417,3175,1112,2856,12931,42
2017,225,35,154,184,228,83,238,834,43
2017,3734,635,3787,1908,3993,1341,4461,31019,44
2017,2487,359,2088,965,1431,925,2815,8348,45
2017,118,24,113,82,30,38,203,667,46
2017,593,91,538,224,438,252,566,2672,47
2017,96,11,66,36,52,40,75,267,48
2017,1571,321,1333,835,1912,505,2016,8159,49
2017,1249,214,794,624,591,300,846,2489,50
2017,2459,304,2343,1123,2995,893,2117,8819,51
2017,540,67,376,254,196,189,307,1174,52
2017,466,93,428,242,294,191,526,1612,53
2017,3010,411,2316,2295,2760,954,3149,11167,54
2017,390,50,307,297,259,102,325,1125,55
2017,1095,150,1065,676,1125,378,1239,4951,56
2017,3010,386,2917,1693,4426,1225,2579,11093,57
2017,268,24,211,145,370,73,343,1199,58
2017,13522,2014,14775,9699,12301,5045,12111,67274,59
2017,1420,213,1385,947,1356,528,1160,6082,60
2017,620,121,400,237,612,276,472,1894,61
2017,7632,1158,6104,3194,5815,2181,5665,22972,62
2017,1270,200,1415,603,2009,549,1752,9524,63
2017,1650,245,1488,1237,1495,486,2025,10493,64
2017,413,48,487,186,619,152,583,3068,65
2017,1755,149,1373,482,808,520,1313,4603,66
2017,3560,424,2889,1833,3623,1432,3386,13031,67
2017,2060,240,1963,908,1733,870,1278,6468,68
2017,8914,1074,9068,5625,7954,3210,11831,65114,69
2017,232,36,176,109,137,85,180,855,70
2017,1017,148,991,704,948,443,1090,4498,71
2017,1402,253,1189,499,1092,561,1554,4980,72
2017,894,140,743,546,929,252,1002,3846,73
2017,1213,137,1024,1241,709,417,1130,6775,74
2017,21398,2688,25584,13705,14062,7176,42236,152507,75
2017,4651,819,4784,2472,6868,2014,4661,22744,76
2017,7584,911,6442,5016,5281,2430,6921,31706,77
2017,7552,968,6091,7499,5806,2735,9685,31567,78
2017,400,87,284,199,271,115,444,2308,79
2017,1730,309,1594,1179,1072,655,1925,6558,80
2017,616,122,556,247,832,258,706,4067,81
2017,504,71,414,197,464,198,667,2623,82
2017,3848,419,3706,3944,2165,1349,4271,17374,83
2017,1710,213,1408,1212,1313,645,1743,7097,84
2017,546,92,575,345,579,234,554,2721,85
2017,1116,195,905,865,1498,375,1267,4421,86
2017,966,170,661,530,529,244,1216,4805,87
2017,697,98,466,485,541,192,459,2467,88
2017,812,101,643,308,679,273,721,2242,89
2017,627,93,469,366,277,135,418,1901,90
2017,6280,704,5960,4441,3099,2175,5418,25531,91
2017,8719,1565,10017,5308,7435,3400,16312,55778,92
2017,13685,1530,20553,12240,11029,5635,13812,65331,93
2017,7886,1062,9109,5758,6244,3009,11131,47141,94
2017,8172,775,7756,5515,3714,2692,8258,31692,95
2017,1051,106,1714,441,719,975,1008,4665,971
2017,1062,126,1374,830,348,714,714,3613,972
2017,1340,93,1594,329,336,572,982,3376,973
2017,1680,432,2739,576,1752,902,1399,6465,974
2017,932,63,985,78,272,202,502,1917,976
2017,349,58,490,720,83,77,435,1748,987
2017,875,123,1057,1294,913,186,593,4465,988
2017,399,41,314,221,615,156,518,1077,2A
2017,408,46,235,122,468,142,310,1049,2B
