Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2012,1562,46,349,512,575,132,618,2013,1
2012,1464,154,1320,848,1357,418,1308,4762,2
2012,889,74,593,380,1302,281,976,2794,3
2012,267,28,228,185,192,81,296,1485,4
2012,514,19,198,178,375,69,391,1336,5
2012,7262,535,7167,3357,4414,1921,6805,40423,6
2012,294,33,216,216,171,47,263,1453,7
2012,657,82,574,386,1058,246,383,1840,8
2012,177,7,130,233,136,35,145,798,9
2012,796,118,721,322,873,279,732,3554,10
2012,1051,57,796,448,1319,288,846,3564,11
2012,343,49,230,251,233,109,381,1596,12
2012,13730,924,19451,5923,10948,6223,11923,73882,13
2012,1900,222,1667,1055,3034,402,1569,8518,14
2012,99,16,107,68,294,31,154,640,15
2012,507,110,546,221,1370,200,712,3223,16
2012,1130,125,961,632,2546,371,1792,7956,17
2012,536,39,505,204,1058,266,374,3064,18
2012,256,39,289,160,809,92,303,1670,19
2012,1328,128,847,721,2234,387,1312,4931,21
2012,536,49,486,422,1222,142,449,2408,22
2012,37,4,42,14,52,20,44,266,23
2012,315,41,265,219,588,66,559,2381,24
2012,1949,133,1003,750,2029,456,1408,6329,25
2012,1514,155,1383,807,1487,683,1267,6880,26
2012,1097,85,1057,750,1232,291,1172,3864,27
2012,958,96,897,629,1286,325,888,3164,28
2012,1579,234,1907,840,3838,527,1588,7816,29
2012,2013,152,1593,568,2543,650,1809,9154,30
2012,5004,366,4872,2535,4899,1623,5107,30212,31
2012,137,20,109,20,220,41,143,756,32
2012,4960,768,4455,3523,6670,1305,3923,23154,33
2012,4041,407,4552,1903,3725,1301,3854,23487,34
2012,2024,152,1831,915,3596,562,2442,9093,35
2012,325,34,284,240,442,118,378,1331,36
2012,1170,131,1015,945,2336,310,948,7969,37
2012,2485,266,2149,1008,3931,1113,2444,15538,38
2012,335,23,257,209,345,88,339,1608,39
2012,342,61,440,249,657,132,442,2308,40
2012,687,81,539,344,834,278,622,2938,41
2012,2075,217,2167,1050,4410,788,2688,11425,42
2012,219,41,164,94,317,92,137,844,43
2012,3953,315,3003,1916,5478,1037,2557,24245,44
2012,1949,235,1932,1236,1369,764,2383,8769,45
2012,134,11,131,73,187,48,152,687,46
2012,409,28,358,235,700,97,589,2418,47
2012,51,11,46,43,41,23,43,201,48
2012,1672,222,1222,864,2626,494,1534,7808,49
2012,959,159,522,408,1762,148,625,2172,50
2012,2191,248,2146,1192,4120,642,2038,9769,51
2012,447,65,353,277,239,156,382,1380,52
2012,410,71,336,211,348,159,303,1840,53
2012,2882,328,2421,1377,3989,709,2458,12617,54
2012,283,46,206,328,344,81,291,1433,55
2012,819,105,812,523,1994,248,747,3528,56
2012,4910,200,2579,1437,4990,1056,2609,12164,57
2012,251,33,252,145,443,88,156,1080,58
2012,14188,1491,13927,9538,19229,4712,9994,63383,59
2012,1625,129,1292,910,1936,342,1013,5955,60
2012,441,68,412,244,1003,145,463,1622,61
2012,7748,862,7840,2783,9177,2185,5056,22150,62
2012,1134,114,1185,523,2615,402,1566,7881,63
2012,2981,159,1211,1197,2735,458,1563,9208,64
2012,353,60,470,248,587,172,505,2910,65
2012,6036,64,1035,423,1005,478,1313,5085,66
2012,5287,399,2698,1932,4594,1425,3574,11976,67
2012,2725,140,1792,755,3120,833,1430,6871,68
2012,9613,832,8187,5810,11266,3222,8689,46514,69
2012,227,32,256,226,234,58,246,918,70
2012,879,97,763,677,1346,287,948,4042,71
2012,1159,117,969,519,1559,445,1000,4326,72
2012,4437,73,946,518,1415,277,1586,4329,73
2012,2770,83,990,1197,1791,394,1088,4890,74
2012,24928,3371,24894,12493,15207,5857,22558,109955,75
2012,6152,601,5311,2003,9875,2487,5033,22083,76
2012,6744,592,6272,5473,6812,2071,5803,30706,77
2012,7317,522,5780,5785,9851,2021,7682,31721,78
2012,427,83,269,238,628,71,545,2083,79
2012,2182,213,1739,674,2485,706,1359,6993,80
2012,559,59,591,526,1228,174,583,3635,81
2012,377,31,407,149,485,179,645,2390,82
2012,3956,349,3580,3032,2495,1273,3664,17056,83
2012,1906,136,1596,666,2196,619,1904,8125,84
2012,442,61,334,358,797,174,428,2503,85
2012,1020,137,609,560,1514,181,845,3913,86
2012,976,99,744,424,1017,256,884,4988,87
2012,509,52,398,404,682,85,387,2049,88
2012,781,52,559,474,1000,231,635,2728,89
2012,589,63,491,360,508,155,455,1800,90
2012,6084,541,6069,3568,6320,1906,4559,24803,91
2012,8517,669,9451,6816,10086,2934,11367,43031,92
2012,13166,991,22491,9580,18468,4456,9505,59345,93
2012,8678,651,9537,5847,9432,2789,7698,42208,94
2012,10276,621,8357,4608,8531,2693,6845,31021,95
2012,2152,75,1684,709,933,831,719,3838,971
2012,1868,143,1867,858,726,867,710,3790,972
2012,11058,75,1423,423,303,328,854,1640,973
2012,1280,213,2282,412,2249,960,924,6682,974
2012,8454,37,582,84,342,125,534,2126,976
2012,387,135,460,508,125,46,334,2037,987
2012,665,100,929,268,1778,146,515,3280,988
2012,615,39,288,186,835,132,459,1226,2A
2012,538,17,245,128,270,158,274,1345,2B
