Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2020,603,95,404,572,675,225,651,1515,1
2020,1392,229,1288,648,1402,462,1211,4101,2
2020,1007,167,738,479,794,434,1044,2614,3
2020,322,40,290,207,226,149,285,1036,4
2020,429,53,272,233,142,112,375,693,5
2020,6665,776,5893,2921,2770,2593,6245,21143,6
2020,288,54,222,160,241,84,311,995,7
2020,605,88,539,344,456,300,480,1316,8
2020,319,51,256,106,163,123,272,625,9
2020,1046,169,863,410,464,385,1052,2699,10
2020,710,133,683,370,585,331,803,2860,11
2020,452,92,351,341,251,179,379,1051,12
2020,11980,1567,13529,6544,6765,5937,13132,56462,13
2020,1886,432,1616,892,1578,851,2045,5287,14
2020,163,35,160,70,148,76,237,476,15
2020,789,175,900,584,822,386,862,2619,16
2020,1211,287,1457,804,1424,522,1570,5094,17
2020,673,112,629,247,586,208,783,2060,18
2020,623,110,453,348,323,222,614,1181,19
2020,1335,261,1323,670,1465,478,1950,4735,21
2020,622,115,589,393,460,233,705,2052,22
2020,113,34,112,107,61,71,113,220,23
2020,568,133,745,349,742,237,678,1920,24
2020,1721,264,1956,883,1089,945,1800,4907,25
2020,1374,185,1380,585,1253,597,1524,5481,26
2020,1045,179,960,531,463,359,1095,2920,27
2020,1083,205,753,675,710,413,970,2076,28
2020,1695,349,1726,906,2014,573,1890,5168,29
2020,1889,256,1740,765,1501,845,2034,7119,30
2020,4823,716,4850,2243,3636,1925,5703,26563,31
2020,149,24,109,108,54,55,177,598,32
2020,4454,895,5088,1466,5473,1727,5269,31806,33
2020,3718,572,4499,1571,3343,1718,4314,18064,34
2020,2201,470,2452,1543,2195,884,2307,8423,35
2020,335,47,339,178,145,161,359,1084,36
2020,1169,265,1381,531,1129,438,2144,6444,37
2020,2962,435,2971,1195,3110,1292,2958,13626,38
2020,372,72,271,267,175,176,356,902,39
2020,547,87,456,217,535,241,612,1786,40
2020,638,98,528,354,384,198,601,1577,41
2020,2307,369,2318,1293,3174,1119,2863,10012,42
2020,276,38,193,194,211,108,264,837,43
2020,3716,800,3975,1526,3482,1449,3914,24471,44
2020,2444,488,2096,1246,975,1090,2646,5639,45
2020,161,31,136,104,151,56,266,470,46
2020,634,130,553,231,308,284,602,1510,47
2020,114,18,75,47,43,46,88,167,48
2020,1679,402,1483,808,1365,627,1858,6067,49
2020,925,191,548,568,574,256,805,1830,50
2020,2262,335,1921,1149,2178,898,2131,6013,51
2020,449,87,367,314,149,187,248,771,52
2020,492,99,377,161,231,162,668,1407,53
2020,2953,519,2623,1345,2477,1183,3488,7677,54
2020,312,61,298,243,273,139,380,1204,55
2020,1185,298,1263,898,833,507,1000,3125,56
2020,2930,459,2743,1248,3207,1337,2836,8840,57
2020,220,45,212,140,318,112,295,1068,58
2020,13671,2741,14803,7195,10627,5726,12906,53624,59
2020,1557,207,1338,1400,1011,587,1537,4133,60
2020,597,102,376,203,446,286,423,1161,61
2020,8885,1211,6181,3254,5066,2360,5246,16452,62
2020,1531,259,1359,592,1957,581,2152,6515,63
2020,1741,290,1595,902,1317,675,2098,6946,64
2020,493,60,420,341,539,150,500,1756,65
2020,1296,167,1485,587,647,583,1352,4441,66
2020,3618,486,3225,1293,3934,1907,3985,11652,67
2020,2117,388,2200,785,1653,1086,1566,4716,68
2020,9222,1361,9877,4852,6020,3788,11178,49985,69
2020,195,43,156,110,151,99,223,563,70
2020,997,181,953,739,850,375,1045,3218,71
2020,1544,274,1266,477,826,516,1235,3772,72
2020,921,156,743,481,775,268,1031,2462,73
2020,1186,156,1249,927,592,474,1260,4876,74
2020,21230,3097,23913,10837,12883,6931,35029,128914,75
2020,4880,1042,4866,1966,5134,2363,6012,18195,76
2020,6750,982,5935,3843,4256,2461,6991,23257,77
2020,7619,1226,6892,4150,4723,2816,9568,25612,78
2020,451,118,452,204,299,207,552,1807,79
2020,1441,341,1515,929,1114,633,1032,4371,80
2020,843,165,785,314,786,340,927,2499,81
2020,510,96,435,260,359,175,563,1515,82
2020,3598,554,3869,3037,1763,1472,4910,13499,83
2020,1789,209,1350,1228,1112,611,1764,5451,84
2020,558,125,517,300,632,280,532,2056,85
2020,1145,260,843,691,727,410,1372,3619,86
2020,946,169,750,590,528,346,1291,3333,87
2020,724,103,481,496,400,191,543,1746,88
2020,820,136,649,376,550,295,746,1822,89
2020,534,85,417,386,189,139,264,1030,90
2020,6385,878,5839,3555,3259,2220,6105,21673,91
2020,10129,2016,10267,4732,6771,3936,17831,47758,92
2020,14704,1952,18521,12115,9804,6336,15536,57622,93
2020,8669,1381,9576,5772,5920,3716,10058,40800,94
2020,8015,896,6899,4063,2713,2693,9795,24993,95
2020,1009,128,1654,640,722,748,1100,2975,971
2020,856,196,1186,262,484,586,681,2546,972
2020,843,126,1213,166,348,705,569,2513,973
2020,1581,488,2499,348,1341,1068,1092,3910,974
2020,920,81,789,60,190,250,701,1504,976
2020,349,70,415,390,82,72,257,956,987
2020,1048,148,1322,1136,877,278,671,3342,988
2020,408,54,354,214,528,178,462,820,2A
2020,345,72,255,106,265,128,339,715,2B
