Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2016,819,100,438,582,584,176,782,2243,1
2016,1326,183,1099,694,794,380,1046,4094,2
2016,844,75,671,573,754,291,1136,3426,3
2016,236,21,268,148,224,132,215,1384,4
2016,280,36,280,143,173,92,376,1503,5
2016,6343,475,6022,3252,4100,2252,6287,28856,6
2016,264,31,214,193,214,62,457,1228,7
2016,628,62,544,357,456,259,427,2214,8
2016,285,14,165,151,96,83,190,904,9
2016,999,142,904,305,775,339,1033,3954,10
2016,969,75,811,326,718,359,1064,4262,11
2016,470,46,277,337,285,175,370,1492,12
2016,11992,1022,13184,6335,6899,5681,12241,70491,13
2016,1892,228,1718,1108,2089,710,1994,7291,14
2016,128,20,129,55,185,53,251,815,15
2016,869,106,784,388,1213,344,776,2903,16
2016,1106,155,1039,947,1796,395,1203,7331,17
2016,719,96,640,246,925,257,752,2854,18
2016,439,63,457,277,439,185,596,1772,19
2016,1407,122,1100,555,1670,419,1855,4794,21
2016,554,99,529,350,590,175,745,3034,22
2016,68,8,58,18,75,28,104,306,23
2016,416,76,460,278,797,143,581,2669,24
2016,1888,144,1598,844,1552,941,1991,5669,25
2016,1429,112,1363,821,1283,618,1299,6561,26
2016,1226,135,1055,855,557,389,1017,3642,27
2016,1157,138,741,501,850,402,903,2679,28
2016,1732,223,1747,1066,2815,559,2086,7201,29
2016,1798,152,1827,631,1690,770,1862,9119,30
2016,4742,482,5327,2764,3663,1965,5758,29220,31
2016,156,6,125,65,157,40,185,659,32
2016,4009,684,4830,2092,4549,1521,5269,29187,33
2016,3834,406,4781,2077,3875,1504,4842,23092,34
2016,2062,286,2292,1139,2377,806,2620,10718,35
2016,371,44,266,175,320,140,346,1152,36
2016,1031,202,1392,692,2116,368,1645,6953,37
2016,2826,278,2979,862,3059,1314,2511,17324,38
2016,384,55,257,248,185,122,441,1411,39
2016,499,53,349,320,556,152,531,2374,40
2016,749,85,491,413,680,299,783,3220,41
2016,2484,234,2392,1592,3172,1131,2570,12696,42
2016,308,39,220,238,245,101,188,794,43
2016,4149,436,3451,1915,4159,1394,4217,29254,44
2016,2173,335,2048,974,1772,886,2903,8040,45
2016,121,14,103,102,82,37,162,618,46
2016,592,49,537,225,445,214,414,2676,47
2016,97,3,49,54,53,51,87,261,48
2016,1653,334,1418,975,2039,586,2018,7356,49
2016,930,178,738,647,858,356,929,2209,50
2016,2418,256,2356,1186,2964,1035,1986,8725,51
2016,431,34,341,247,163,151,372,1116,52
2016,491,52,394,256,333,208,511,1619,53
2016,3195,383,2288,2293,2673,961,3471,10759,54
2016,360,27,275,318,262,91,222,1227,55
2016,931,112,985,538,1276,355,1493,4830,56
2016,2926,253,2466,1632,4309,1163,2897,11633,57
2016,281,28,209,164,360,56,172,783,58
2016,13254,1574,15050,9812,12294,4907,12328,67471,59
2016,1616,150,1416,924,1502,600,1307,5875,60
2016,631,77,363,279,552,230,470,1653,61
2016,7608,1014,6276,3160,6249,2253,5255,24520,62
2016,1257,173,1186,627,2018,546,1632,8603,63
2016,1641,220,1345,1388,1429,513,1894,9152,64
2016,427,34,427,198,738,168,563,3037,65
2016,2506,147,1396,554,1224,512,1122,3679,66
2016,3699,383,2847,1870,3151,1480,3291,11403,67
2016,2140,174,1842,855,1735,889,1411,6280,68
2016,8663,876,9674,5847,7717,3401,11112,40381,69
2016,294,47,236,157,193,109,236,873,70
2016,982,106,904,730,954,446,1219,4393,71
2016,1377,227,1141,545,1375,568,1324,5108,72
2016,1148,108,729,505,815,281,1035,4083,73
2016,1150,113,888,1242,860,407,1105,5948,74
2016,20938,2363,24677,12533,14072,6884,38377,144217,75
2016,4605,699,4964,2962,6557,2034,4808,21050,76
2016,7227,738,6149,5074,5516,2417,7065,30542,77
2016,7139,793,5991,7176,5635,2696,9653,30931,78
2016,423,83,309,185,248,143,537,1848,79
2016,1675,187,1507,1074,1355,685,1471,5416,80
2016,681,85,588,305,940,214,603,4146,81
2016,437,75,381,166,517,132,446,2713,82
2016,3904,318,3892,2993,2192,1458,4336,17644,83
2016,1696,192,1522,1288,1658,732,1837,7607,84
2016,597,77,511,324,556,210,562,2730,85
2016,1013,108,817,773,1418,349,1289,4345,86
2016,963,103,722,454,639,259,1211,4939,87
2016,705,55,503,464,553,161,444,2351,88
2016,754,41,585,415,681,283,878,2429,89
2016,589,70,479,417,335,220,370,1930,90
2016,5422,570,5953,3728,3288,2167,5050,25155,91
2016,8127,973,10219,4163,7602,3609,17693,54508,92
2016,12151,1256,20410,10943,10753,5344,13669,60153,93
2016,7227,871,9246,5364,6471,3132,9806,44010,94
2016,7459,675,8110,4817,3765,2621,7147,30758,95
2016,1093,112,1990,584,638,1187,1053,4639,971
2016,995,120,1427,559,326,686,643,3845,972
2016,2220,82,2051,335,414,783,898,3584,973
2016,1679,336,2970,570,1928,1094,1379,7306,974
2016,918,120,1165,61,262,414,556,2269,976
2016,414,41,485,636,92,80,299,1680,987
2016,846,86,996,870,1150,187,576,4366,988
2016,478,33,336,293,622,164,441,1139,2A
2016,371,25,249,132,530,137,265,979,2B
