Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2014,1159,65,412,614,531,154,622,2039,1
2014,1453,183,1142,715,946,457,1360,4277,2
2014,732,73,552,485,1084,237,982,2959,3
2014,196,18,211,182,222,72,241,1029,4
2014,444,32,226,163,253,74,367,1590,5
2014,6414,531,6680,2754,5629,2106,6608,34232,6
2014,282,23,205,229,245,79,456,1621,7
2014,585,73,440,359,701,250,527,2093,8
2014,238,22,135,213,100,50,158,850,9
2014,904,78,885,358,717,293,1099,4383,10
2014,913,72,770,407,966,357,875,4338,11
2014,409,52,271,369,249,118,364,1435,12
2014,11412,819,13969,7657,9084,5286,11606,72006,13
2014,1535,184,1541,1044,2333,592,1972,8113,14
2014,90,9,136,30,245,38,181,673,15
2014,696,58,631,362,1171,241,711,3245,16
2014,1127,149,1135,1049,2626,333,1385,7330,17
2014,601,76,565,274,725,218,765,3517,18
2014,450,73,361,128,386,141,518,1978,19
2014,1288,229,1009,642,1984,473,1482,6164,21
2014,528,51,519,355,604,154,673,3049,22
2014,72,10,55,61,112,20,85,315,23
2014,420,66,375,239,553,110,584,2721,24
2014,2434,178,1481,527,1762,703,1323,6794,25
2014,1265,139,1256,777,1599,623,1592,7847,26
2014,1093,142,957,595,464,265,1412,3765,27
2014,1082,116,809,649,958,291,824,3573,28
2014,1482,218,1554,899,3318,515,1465,6415,29
2014,1946,146,1964,675,2067,708,1816,9163,30
2014,4522,409,5159,2524,3824,1879,5116,31631,31
2014,123,10,113,40,146,46,143,919,32
2014,3914,809,4652,3063,5436,1427,4086,26127,33
2014,3328,273,4716,2180,3980,1384,3765,19420,34
2014,1748,273,2055,980,2434,711,2534,9544,35
2014,342,18,293,247,499,118,291,1494,36
2014,988,133,1327,872,2185,279,1660,7233,37
2014,2447,134,2609,853,3461,1235,2688,19035,38
2014,405,46,237,246,266,76,405,1302,39
2014,461,69,405,313,644,142,612,2817,40
2014,608,88,493,329,643,268,636,3025,41
2014,2437,254,2266,1439,4001,973,2419,12547,42
2014,204,35,197,114,237,89,171,939,43
2014,3750,349,2700,2079,4337,1285,3222,24374,44
2014,2079,248,2018,1083,1505,729,2407,8868,45
2014,133,11,101,52,100,47,195,904,46
2014,397,56,435,163,435,109,465,2806,47
2014,97,9,40,42,54,43,48,220,48
2014,1374,321,1298,896,1983,441,1800,8055,49
2014,699,123,555,387,1051,154,655,2507,50
2014,2394,224,2426,1139,2989,840,2202,9656,51
2014,492,50,351,252,156,166,324,1376,52
2014,490,49,347,160,415,198,599,1324,53
2014,3338,343,2186,1989,2635,765,2750,12971,54
2014,338,36,244,278,254,84,271,1354,55
2014,723,113,767,523,1431,263,895,3994,56
2014,3218,217,2445,1505,4710,994,2739,11364,57
2014,309,20,220,142,400,72,225,1257,58
2014,11706,1495,14182,8913,13924,4847,10045,68073,59
2014,1837,171,1639,920,1761,673,1264,5651,60
2014,596,35,342,203,920,216,479,1711,61
2014,7351,920,5942,2997,6625,2081,5065,23930,62
2014,1284,128,1254,611,1657,498,1496,8295,63
2014,2300,198,1262,1308,1859,490,1787,10160,64
2014,501,38,379,190,585,180,752,3146,65
2014,4616,103,1489,710,1087,508,1132,5204,66
2014,4540,402,2545,1858,2994,1381,3330,11850,67
2014,2408,152,1613,784,2203,933,1577,7109,68
2014,8524,741,8700,7136,8490,3061,8975,45237,69
2014,276,43,259,128,243,104,218,1107,70
2014,1094,121,789,598,1245,370,1146,4385,71
2014,1115,178,985,687,1382,466,1324,4061,72
2014,3225,57,794,511,1221,194,1199,4443,73
2014,1685,74,837,1127,1132,276,974,5014,74
2014,20222,2836,24883,12955,18701,5844,34351,151793,75
2014,4789,686,5122,2984,6016,2011,4761,21736,76
2014,6436,641,6491,4744,5679,2321,7113,34093,77
2014,6558,742,6115,6662,7894,2379,8374,33319,78
2014,364,27,294,188,255,85,412,2067,79
2014,1662,221,1646,1039,1411,726,1212,6793,80
2014,591,63,648,334,1046,210,618,3335,81
2014,436,51,430,170,454,179,648,2298,82
2014,3469,369,3604,2873,2556,1439,3964,18573,83
2014,1422,124,1546,855,2013,558,1676,7967,84
2014,563,87,476,367,577,175,504,2508,85
2014,1039,139,683,741,1427,291,1092,4714,86
2014,825,86,787,471,858,284,1073,4466,87
2014,511,40,504,314,632,131,370,2087,88
2014,828,86,564,318,869,295,910,2708,89
2014,587,55,437,310,449,223,451,2098,90
2014,5357,439,5956,3468,4201,2215,5043,25966,91
2014,7410,682,9714,6035,10061,3179,13781,53940,92
2014,10953,908,19864,10667,14002,4464,10604,64190,93
2014,6722,751,9555,5738,7838,2694,8781,46821,94
2014,6760,440,7898,4905,6722,2627,7112,31778,95
2014,1032,69,1710,627,990,936,741,4331,971
2014,944,118,1614,676,357,646,612,3979,972
2014,2033,87,1948,222,594,583,792,2655,973
2014,1303,218,2361,371,1714,916,1281,6049,974
2014,5092,40,794,31,489,92,605,2368,976
2014,495,45,534,473,114,48,306,2251,987
2014,652,75,840,290,1502,164,647,3453,988
2014,433,31,230,314,545,158,417,1344,2A
2014,426,27,258,133,332,140,281,1253,2B
