"Règlements de compte entre malfaiteurs",Homicides pour voler et à l'occasion de vols,Homicides pour d'autres motifs,Tentatives d'homicides pour voler et à l'occasion de vols,Tentatives homicides pour d'autres motifs,Coups et blessures volontaires suivis de mort,Autres coups et blessures volontaires criminels ou correctionnels,Prises d'otages à l'occasion de vols,Prises d'otages dans un autre but,Sequestrations,Menaces ou chantages pour extorsion de fonds,Menaces ou chantages dans un autre but,Atteintes à la dignité et à la  personnalité,Violations de domicile,Vols à main armée contre des établissements financiers,Vols à main armée contre des éts industriels ou commerciaux,Vols à main armée contre des entreprises de transports de fonds,Vols à main armée contre des particuliers à leur domicile,Autres vols à main armée,"Vols avec armes blanches contre des établissements financiers,commerciaux ou industriels",Vols avec armes blanches contre des particuliers à leur domicile,Autres vols avec armes blanches,"Vols violents sans arme contre des établissements financiers,commerciaux ou industriels",Vols violents sans arme contre des particuliers à leur domicile,Vols violents sans arme contre des femmes sur voie publique ou autre lieu public,Vols violents sans arme contre d'autres victimes,Cambriolages de locaux d'habitations principales,Cambriolages de résidences secondaires,"Camb.de  locaux industriels, commerciaux ou financiers",Cambriolages d'autres lieux,Vols avec entrée par ruse en tous lieux,Vols à la tire,Vols à l'étalage,Vols de véhicules de transport avec frêt,Vols d'automobiles,Vols de véhicules motorisés à 2 roues,Vols à la roulotte,Vols d''accessoires sur véhicules à moteur immatriculés,Vols simples sur chantier,Vols simples sur exploitations agricoles,Autres vols simples contre des établissements publics ou privés,Autres vols simples contre des particuliers dans  deslocaux privés,Autres vols simples contre des particuliers dans des locaux ou lieux publics,Recels,Proxénétisme,Viols sur des majeur(e)s,Viols sur des mineur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des majeur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des mineur(e)s,Atteintes sexuelles,Homicides commis contre enfants de moins de 15 ans,"Violences, mauvais traitements et abandons d'enfants.",Délits au sujet de la garde des mineurs,Non versement de pension alimentaire,Trafic et revente sans usage de stupéfiants,Usage-revente de stupéfiants,Usage de stupéfiants,Autres infractions à la législation sur les stupéfiants,Délits de débits de boissons et infraction à la règlementation sur l'alcool  et le tabac,Fraudes alimentaires et infractions à l'hygiène,Autres délits contre santé publique et la réglementation des professions médicales,Escroqueries and abus de confiance,Infractions à la législation sur les chèques,Travail clandestin,Emploi d'étranger sans titre de travail,Marchandage - prêt de main-d'oeuvre,"Banqueroutes, abus de biens sociaux and autres délits de société","Prix illicittes, publicité fausse and infractions aux règles de la concurrence",Achats and ventes sans factures,Infractions à l'exercice d'une profession règlementée,Infractions au droit de l'urbanisme and de la construction,Fraudes fiscales,Autres délits économiques and financiers
" Crimes contre la personne"," Crimes contre la personne"," Crimes contre la personne"," Crimes contre la personne"," Crimes contre la personne"," Crimes contre la personne"," Crimes contre la personne"," Crimes et agressions violentes"," Crimes et agressions violentes"," Crimes et agressions violentes"," Crimes et agressions violentes"," Crimes and agressions violentes"," Crimes and agressions violentes"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Vols et cambriolages"," Crimes sexuels"," Crimes sexuels"," Crimes sexuels"," Crimes sexuels"," Crimes sexuels"," Crimes sexuels"," Crimes sexuels"," Crimes sexuels"," Crimes sexuels"," Crimes sexuels"," Crimes liés aux stupéfiants"," Crimes liés aux stupéfiants"," Crimes liés aux stupéfiants"," Crimes liés aux stupéfiants"," Crimes économiques et financiers"," Crimes économiques and financiers"," Crimes économiques and financiers"," Crimes économiques and financiers"," Crimes économiques and financiers"," Crimes économiques and financiers"," Crimes économiques and financiers"," Crimes économiques and financiers"," Autres"," Autres"," Autres"," Autres"," Autres"," Crimes économiques and financiers"," Crimes économiques and financiers"
