Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2016.0,1953.0,294.0,1198.0,1173.0,1068.0,551.0,1790.0,10752.0,1.0
2016.0,1748.0,256.0,1096.0,527.0,921.0,475.0,1710.0,6101.0,2.0
2016.0,660.0,106.0,317.0,508.0,223.0,144.0,696.0,2352.0,3.0
2016.0,615.0,77.0,330.0,636.0,253.0,178.0,559.0,3048.0,4.0
2016.0,414.0,45.0,200.0,498.0,151.0,111.0,485.0,1921.0,5.0
2016.0,1802.0,196.0,962.0,1008.0,414.0,482.0,1862.0,7967.0,6.0
2016.0,1169.0,129.0,592.0,570.0,501.0,241.0,865.0,4843.0,7.0
2016.0,1080.0,162.0,582.0,497.0,493.0,300.0,655.0,2822.0,8.0
2016.0,533.0,79.0,338.0,245.0,302.0,133.0,553.0,2322.0,9.0
2016.0,1005.0,119.0,574.0,320.0,605.0,305.0,837.0,4070.0,10.0
2016.0,1006.0,152.0,688.0,478.0,411.0,265.0,957.0,5926.0,11.0
2016.0,638.0,113.0,372.0,287.0,265.0,182.0,895.0,2192.0,12.0
2016.0,2131.0,203.0,1336.0,1584.0,841.0,667.0,2257.0,15762.0,13.0
2016.0,1700.0,230.0,762.0,732.0,584.0,276.0,1105.0,4883.0,14.0
2016.0,375.0,43.0,196.0,75.0,123.0,104.0,425.0,994.0,15.0
2016.0,780.0,199.0,424.0,270.0,327.0,213.0,1585.0,3742.0,16.0
2016.0,1466.0,259.0,948.0,886.0,848.0,342.0,1774.0,9367.0,17.0
2016.0,843.0,126.0,395.0,250.0,355.0,217.0,727.0,3214.0,18.0
2016.0,490.0,74.0,234.0,273.0,141.0,104.0,555.0,1904.0,19.0
2016.0,1170.0,172.0,554.0,764.0,435.0,220.0,1163.0,4725.0,21.0
2016.0,1775.0,316.0,983.0,646.0,874.0,401.0,2248.0,7115.0,22.0
2016.0,339.0,74.0,194.0,101.0,159.0,76.0,461.0,1178.0,23.0
2016.0,1135.0,212.0,533.0,378.0,477.0,290.0,1313.0,4388.0,24.0
2016.0,1326.0,207.0,730.0,357.0,710.0,352.0,1236.0,4834.0,25.0
2016.0,1251.0,181.0,764.0,578.0,675.0,354.0,1080.0,8366.0,26.0
2016.0,1678.0,284.0,1190.0,837.0,744.0,474.0,1675.0,8024.0,27.0
2016.0,1277.0,203.0,752.0,569.0,575.0,359.0,1041.0,4616.0,28.0
2016.0,1894.0,305.0,1012.0,929.0,1316.0,422.0,2356.0,9164.0,29.0
2016.0,2019.0,296.0,1293.0,1008.0,972.0,532.0,1825.0,12198.0,30.0
2016.0,2879.0,386.0,2115.0,1207.0,1946.0,789.0,3866.0,19901.0,31.0
2016.0,516.0,95.0,258.0,401.0,213.0,130.0,696.0,2876.0,32.0
2016.0,3503.0,677.0,2272.0,1096.0,1541.0,957.0,3317.0,19486.0,33.0
2016.0,2774.0,400.0,1918.0,1649.0,1318.0,813.0,2863.0,19438.0,34.0
2016.0,2051.0,403.0,1208.0,975.0,1251.0,481.0,2645.0,10294.0,35.0
2016.0,555.0,93.0,321.0,270.0,236.0,153.0,736.0,2392.0,36.0
2016.0,1267.0,212.0,653.0,391.0,876.0,249.0,1446.0,6824.0,37.0
2016.0,3705.0,474.0,2143.0,2006.0,2501.0,994.0,3429.0,23145.0,38.0
2016.0,786.0,159.0,434.0,386.0,276.0,230.0,681.0,2754.0,39.0
2016.0,1122.0,181.0,697.0,808.0,525.0,295.0,1387.0,6590.0,40.0
2016.0,857.0,136.0,434.0,222.0,321.0,221.0,861.0,4102.0,41.0
2016.0,1182.0,210.0,594.0,691.0,427.0,272.0,1335.0,5372.0,42.0
2016.0,600.0,81.0,286.0,474.0,215.0,166.0,707.0,2323.0,43.0
2016.0,2417.0,416.0,1655.0,1408.0,1775.0,629.0,3053.0,19745.0,44.0
2016.0,1616.0,212.0,834.0,774.0,673.0,410.0,2106.0,7252.0,45.0
2016.0,537.0,88.0,253.0,287.0,211.0,124.0,476.0,2151.0,46.0
2016.0,961.0,148.0,595.0,222.0,460.0,340.0,1018.0,5212.0,47.0
2016.0,216.0,29.0,96.0,165.0,72.0,38.0,168.0,686.0,48.0
2016.0,1428.0,340.0,714.0,641.0,867.0,326.0,1883.0,7524.0,49.0
2016.0,836.0,189.0,471.0,481.0,375.0,227.0,852.0,3616.0,50.0
2016.0,1030.0,163.0,573.0,374.0,501.0,266.0,883.0,5125.0,51.0
2016.0,582.0,102.0,308.0,246.0,300.0,186.0,635.0,2122.0,52.0
2016.0,651.0,148.0,342.0,520.0,321.0,190.0,773.0,2824.0,53.0
2016.0,1066.0,164.0,568.0,713.0,633.0,238.0,1016.0,4193.0,54.0
2016.0,649.0,99.0,324.0,336.0,188.0,179.0,416.0,2109.0,55.0
2016.0,1567.0,301.0,938.0,613.0,908.0,342.0,2356.0,9462.0,56.0
2016.0,2016.0,220.0,1163.0,1226.0,784.0,532.0,1448.0,7350.0,57.0
2016.0,662.0,98.0,357.0,304.0,240.0,193.0,960.0,3033.0,58.0
2016.0,2987.0,459.0,1930.0,1694.0,1223.0,688.0,2222.0,11801.0,59.0
2016.0,3158.0,450.0,2110.0,927.0,2029.0,827.0,3025.0,15873.0,60.0
2016.0,840.0,210.0,454.0,205.0,407.0,212.0,845.0,2953.0,61.0
2016.0,2314.0,379.0,1315.0,1040.0,803.0,495.0,1747.0,6937.0,62.0
2016.0,1302.0,186.0,699.0,462.0,836.0,391.0,1431.0,6834.0,63.0
2016.0,889.0,158.0,448.0,376.0,352.0,219.0,1005.0,3862.0,64.0
2016.0,397.0,66.0,235.0,358.0,215.0,102.0,534.0,1996.0,65.0
2016.0,1493.0,196.0,1037.0,790.0,659.0,437.0,1583.0,10031.0,66.0
2016.0,2508.0,421.0,1283.0,1287.0,1012.0,783.0,2274.0,7923.0,67.0
2016.0,1931.0,246.0,959.0,730.0,809.0,528.0,1662.0,7114.0,68.0
2016.0,2346.0,359.0,1521.0,1505.0,1019.0,616.0,3444.0,16763.0,69.0
2016.0,889.0,135.0,513.0,240.0,301.0,240.0,749.0,2936.0,70.0
2016.0,1157.0,168.0,654.0,697.0,489.0,286.0,1342.0,5126.0,71.0
2016.0,1440.0,289.0,940.0,496.0,641.0,397.0,1718.0,6747.0,72.0
2016.0,1166.0,172.0,708.0,728.0,558.0,311.0,1266.0,8186.0,73.0
2016.0,2569.0,357.0,1466.0,1909.0,1010.0,633.0,3047.0,13707.0,74.0
2016.0,1600.0,236.0,830.0,764.0,544.0,390.0,1384.0,6774.0,76.0
2016.0,1989.0,284.0,1207.0,1207.0,634.0,560.0,1846.0,8216.0,77.0
2016.0,886.0,119.0,529.0,582.0,544.0,164.0,1096.0,5614.0,78.0
2016.0,991.0,177.0,542.0,306.0,494.0,233.0,884.0,4425.0,79.0
2016.0,1714.0,195.0,1028.0,617.0,661.0,438.0,1214.0,6098.0,80.0
